datetime,score,is_last
23:36 2021/07/04,2658,0
23:49 2021/07/04,2670,0
0:08 2021/07/05,2655,0
0:18 2021/07/05,2664,0
0:34 2021/07/05,2646,0
0:46 2021/07/05,2655,0
0:56 2021/07/05,2666,0
1:07 2021/07/05,2657,0
01:20 2021/07/05,2669,0
01:41 2021/07/05,2683,0
2:04 2021/07/05,2689,0
02:06 2021/07/05,2674,0
22:25 2021/07/05,2660,0
22:46 2021/07/05,2655,0
23:06 2021/07/05,2638,1
23:53 2021/07/06,2623,0
00:18 2021/07/07,2637,0
0:37 2021/07/07,2644,0
1:13 2021/07/07,2635,0
1:24 2021/07/07,2650,0
1:41 2021/07/07,2662,0
2:18 2021/07/07,2646,0
2:30 2021/07/07,2662,0
2:42 2021/07/07,2677,0
2:54 2021/07/07,2683,0
20:33 2021/07/08,2700,0
01:47 2021/07/09,2707,0
02:06 2021/07/09,2718,0
22:29 2021/07/10,2730,0
22:42 2021/07/10,2743,0
22:55 2021/07/10,2732,0
23:08 2021/07/10,2743,0
23:19 2021/07/10,2758,0
23:34 2021/07/10,2747,0
01:18 2021/07/11,2749,0
15:22 2021/07/11,2762,0
15:39 2021/07/11,2773,0
15:51 2021/07/11,2773,1
22:09 2021/07/19,2742,0
22:34 2021/07/19,2696,0
22:45 2021/07/19,2685,0
22:58 2021/07/19,2698,0
23:13 2021/07/19,2689,0
23:25 2021/07/19,2689,0
23:36 2021/07/19,2674,0
23:49 2021/07/19,2659,0
00:04 2021/07/20,2676,0
00:14 2021/07/20,2685,0
00:26 2021/07/20,2676,0
00:38 2021/07/20,2684,0
00:49 2021/07/20,2698,0
01:01 2021/07/20,2709,0
23:47 2021/07/20,2712,0
00:03 2021/07/21,2697,1
00:13 2021/07/21,2678,0
00:25 2021/07/21,2692,0
00:45 2021/07/21,2699,0
22:58 2021/07/27,2544,1
23:09 2021/07/27,2552,0
23:21 2021/07/27,2569,0
23:44 2021/07/27,2565,0
00:01 2021/07/28,2578,0
00:17 2021/07/28,2589,0
00:32 2021/07/28,2584,0
00:48 2021/07/28,2593,0
01:22 2021/07/28,2550,0
01:35 2021/07/28,2537,0
02:00 2021/07/28,2509,0
21:31 2021/07/29,2533,0
23:24 2021/07/29,2571,0
23:36 2021/07/29,2558,0
23:47 2021/07/29,2566,0
01:10 2021/07/30,2588,0
01:24 2021/07/30,2605,0
01:50 2021/07/30,2602,0
02:02 2021/07/30,2584,0
02:13 2021/07/30,2597,0
00:09 2021/08/04,2565,1
00:34 2021/08/04,2596,0
00:47 2021/08/04,2608,0
01:15 2021/08/04,2626,0
01:29 2021/08/04,2638,0
01:39 2021/08/04,2651,0
01:50 2021/08/04,2637,0
02:00 2021/08/04,2645,0
23:29 2021/08/10,2598,0
23:59 2021/08/10,2609,0
00:23 2021/08/11,2636,0
00:42 2021/08/11,2621,0
